Q9C478-PHI201_PHI5537_PHI5568-Avr-pita_(avr2-yamo)_Avr-pita-318829-Magnaporthe_oryzae	MGG_15370T0	97.101	207	6	0	17	223	1	207	2.85e-153	425
A0A059UDR8-PHI2897_PHI9472-Bec1019-34373_29850-Blumeria_graminis_Gaeumannomyces_graminis-reduced_virulence_effector_(plant_avirulence_determinant)	jgi|BlugrR1_1|72561|BGHR1_10171-mRNA-1_BLGH_04871	100.000	292	0	0	1	292	1	292	0.0	610
A0A061HK55-PHI10570-Bgt_bcg-7-34373-Blumeria_graminis	jgi|Blugr2|3123|BLGH_05436-mRNA-1	47.407	135	60	4	1	129	1	130	3.86e-35	121
A0A0D1E3H5-PHI123593-Erc1_(umag_01829)-5270-Ustilago_maydis	jgi|Ustma2_2|8719|mRNA_UMAG_01829	100.000	685	0	0	1	685	1	685	0.0	1416
A0A1B5KZM5-PHI10357_PHI10826-Uvhrip1_(uvi_02019870)-1159556-Ustilaginoidea_virens	jgi|Aspnov1|388260|estExt_Genewise1Plus.C_4_t10012	78.947	133	28	0	1	133	1	133	5.55e-76	223
A0A1P8YXK1-PHI123316-Ecp20-2-5499-Fulvia_fulva	jgi|Mycfi2|209811|estExt_fgenesh1_kg.C_10387	45.833	120	64	1	2	120	9	128	3.34e-34	117
A0A384J6C4-PHI11358-Crh1_(bcin01g06010)-40559-Botrytis_cinerea	jgi|Botci1|408|BC1T_00409	100.000	371	0	0	1	371	1	371	0.0	742
A0A8H7MAE0-PHI11325-Avr4-2-685502-Pseudocercospora_fuligena	jgi|Mycfi2|87167|Mycfi1.estExt_fgenesh1_pg.C_60009	47.887	71	37	0	7	77	6	76	4.64e-16	68.2
A7F1J8-PHI11761-Ss1g_11468_(sserp1)-5180-Sclerotinia_sclerotiorum	jgi|Sclsc1|5012|SS1G_11468T0	100.000	232	0	0	1	232	1	232	1.09e-167	462
C1KJG7-PHI2830-Avr-pita1jb-318829-Magnaporthe_oryzae	MGG_15370T0	99.034	207	2	0	1	207	1	207	1.65e-155	430
C1KJH7-PHI2829-Avr-pita1ja-318829-Magnaporthe_oryzae	MGG_15370T0	98.551	207	3	0	1	207	1	207	1.27e-153	425
C1KJH9-PHI2850-Avr-pita1-318829-Magnaporthe_oryzae	MGG_15370T0	98.551	207	3	0	1	207	1	207	1.27e-153	425
C1KJI7-PHI2150-Avr-pita1-318829-Magnaporthe_oryzae	MGG_15370T0	99.517	207	1	0	1	207	1	207	2.17e-156	432
D5KLB3-PHI5475-Cbavr4-122368-Cercospora_beticola	jgi|Mycfi2|87167|Mycfi1.estExt_fgenesh1_pg.C_60009	53.521	71	33	0	14	84	6	76	3.72e-21	82.4
D5KLB5-PHI5474-Caavr4-132184-Cercospora_apii	jgi|Mycfi2|87167|Mycfi1.estExt_fgenesh1_pg.C_60009	52.113	71	34	0	14	84	6	76	3.39e-20	80.1
E3QKL1-PHI12176-Cgfl_(glrg_06543)-31870-Colletotrichum_graminicola	jgi|Colto1|8406|CT0861_04944T0	92.869	617	42	1	1	617	1	615	0.0	1173
G2X4G0-PHI11606-Vd424y-27337-Verticillium_dahliae	VDAG_JR2_Chr5g00880a-00001	100.000	188	0	0	1	188	1	188	1.88e-134	375
G4MKI0-PHI2118_PHI5540-Mgsm1_Msp1-318829-Magnaporthe_oryzae_increased_virulence_(hypervirulence)	MGG_05344T0	100.000	119	0	0	1	119	1	119	2.96e-83	240
G4MVX4-PHI3216-Mocdip4-318829-Magnaporthe_oryzae	MGG_08409T0	100.000	277	0	0	1	277	1	277	0.0	567
G4N8Y3-PHI3213-Mocdip1-318829-Magnaporthe_oryzae	MGG_03356T0	100.000	335	0	0	1	335	1	335	0.0	662
G4N906-PHI2404-Slp_1-318829-Magnaporthe_oryzae	MGG_10097T0	100.000	136	0	0	1	136	1	136	6.61e-93	266
G4NH41-PHI12224-Moptep1_(mgg_03946)-318829-Magnaporthe_oryzae	MGG_03946T0	100.000	178	0	0	1	178	1	178	3.51e-131	366
H9DUR1-PHI2331_PHI7988-Ave1_Vdave1-27337-Verticillium_dahliae	VDAG_JR2_Chr5g02170a-00002	100.000	116	0	0	1	116	1	116	9.28e-85	243
L8WVP3-PHI9711-Aglip1-456999-Rhizoctonia_solani	jgi|Thacu1|438845|CE438844_258	88.768	276	31	0	1	276	1	276	0.0	509
N1JJ94-PHI2903_PHI8918-Bec1054_Dh14-34373_230439-Blumeria_graminis_Peronospora_tabacina-reduced_virulence_effector_(plant_avirulence_determinant)	jgi|Blugr2|4805|BLGH_06959-mRNA-1	100.000	97	0	0	1	97	1	97	1.69e-68	201
N1JJH4-PHI6351_PHI6356-Csep0081-34373-Blumeria_graminis	jgi|Blugr2|6766|BLGH_03696-mRNA-1	100.000	107	0	0	1	107	1	107	8.50e-75	218
Q00363-PHI18_PHI5476_PHI5487_PHI5546_PHI5556_PHI5561_PHI5567_PHI5584-Avr4_Cfavr4-5499-Fulvia_fulva	jgi|Mycfi2|87167|Mycfi1.estExt_fgenesh1_pg.C_60009	54.545	77	32	2	16	91	2	76	5.31e-20	79.3
Q00365-PHI71_PHI5486_PHI5544_PHI5559-Ecp2-5499-Fulvia_fulva-reduced_virulence_effector_(plant_avirulence_determinant)_unaffected_pathogenicity	jgi|Mycfi2|52972|Mycfi1.estExt_Genewise1.C_160597	62.143	140	51	2	1	140	6	143	4.44e-59	181
Q5TIP4-PHI2347-Pgip2-40559-Botrytis_cinerea	jgi|Colhig2|12590|CH63R_11382T0	30.189	212	143	4	97	307	80	287	3.53e-18	85.1
Q5TIP4-PHI2347-Pgip2-40559-Botrytis_cinerea	jgi|Colhig2|12590|CH63R_11382T0	25.126	199	106	6	106	296	69	232	1.08e-04	45.4
Q5TIP4-PHI2347-Pgip2-40559-Botrytis_cinerea	jgi|Colhig2|12590|CH63R_11382T0	29.592	98	66	3	68	165	170	264	4.36e-04	43.5
R0K2C5-PHI123376-Sre1_(settudraft_163271)-93612-Exserohilum_turcicum	AB04295.1	79.048	105	22	0	1	105	20	124	3.60e-58	176
X0JFE5-PHI123578-Focupin1_(exl99917.1)-5507-Fusarium_oxysporum	jgi|Fusox2|3306|FOXG_08602T0	100.000	222	0	0	1	222	1	222	9.85e-165	454
X0KJP1-PHI11715-Focm35_1_(foig_01919)-5507-Fusarium_oxysporum	jgi|Fusox2|16713|FOXG_02952T0	99.695	328	1	0	1	328	1	328	0.0	676
