a001	jgi|Chagl_1|15287|CHGT_05463	100.000	206	0	0	1	206	1	206	8.11e-149	413
a002	FUN_003769-T1	28.846	52	35	1	80	131	161	210	0.19	34.7
a002	FUN_003769-T1	27.119	59	39	2	60	118	24	78	4.1	30.8
a003	jgi|Fusre1|721884|MIX22979_2_11	30.882	68	46	1	128	195	681	747	1.1	32.3
a004	jgi|Neodi1|3473|AK830_g9420T0	24.645	211	123	11	13	198	270	469	0.95	32.7
a005	SPO32569	36.190	105	55	5	11	106	47	148	0.007	39.7
a005	SPO32569	39.759	83	43	5	15	95	85	162	0.060	36.6
a006	jgi|Pyrly1|475271|fgenesh1_kg.63_#_143_#_TRINITY_DN11778_c0_g1_i1	64.865	74	26	0	1	74	1	74	3.33e-30	102
a007	jgi|Trave1|174832|estExt_Genewise1Plus.C_13_t10423	28.205	78	44	2	63	128	136	213	2.5	31.2
a008	jgi|Phimu1|622151|estExt_Genewise1Plus.C_9_t10025	25.735	136	87	5	6	131	3	134	0.17	34.7
a009	jgi|Melbi2|613158|fgenesh1_kg.83_#_61_#_Locus11847v1rpkm2.70	30.667	75	50	1	18	90	288	362	4.9	30.4
a010	jgi|DalEC12_1|314817|fgenesh1_kg.4_#_379_#_Locus4129v1rpkm25.85	28.395	81	54	3	43	120	566	645	1.4	32.3
a011	jgi|Denna1|504834|fgenesh1_pg.5_#_246	29.730	74	47	2	10	80	158	229	1.9	32.0
a012	jgi|Cadsp1|314508|CE314507_1203	23.529	68	43	1	199	257	161	228	0.20	34.7
a013	jgi|Melva1|633385|estExt_Genemark1.C_9_t10167	34.783	46	29	1	47	92	2	46	0.43	34.3
a014	jgi|Chalo1|560062|estExt_fgenesh1_pg.C_12_t10086	29.167	144	71	7	81	203	124	257	0.12	36.2
a015	jgi|Aspnov1|411711|estExt_Genewise1.C_7_t10387	84.921	126	19	0	1	126	1	126	1.06e-75	221
a016	jgi|Aspnov1|411711|estExt_Genewise1.C_7_t10387	87.402	127	15	1	1	127	1	126	1.53e-78	229
a017	jgi|Pensub1|10995|scaffold_701.133	26.190	126	68	4	35	160	78	178	0.021	37.0
a018	jgi|BlugrR1_1|73771|BGHR1_11381-mRNA-1_BLGH_07002	42.500	40	22	1	18	56	28	67	1.5	30.0
a019	jgi|Hebcy2|203701|CE123441_8110	30.556	72	41	2	116	178	304	375	0.85	32.3
a020	FUN_003352-T1	40.000	60	34	2	41	98	140	199	0.083	35.4
a021	jgi|Botci1|15672|BC1T_02714	42.857	49	28	0	3	51	42	90	0.001	40.0
a021	jgi|Botci1|15672|BC1T_02714	40.541	37	21	1	6	41	7	43	4.1	29.6
a022	jgi|Pyrly1|463891|fgenesh1_kg.20_#_156_#_TRINITY_DN2706_c0_g1_i2	29.213	89	52	4	34	122	58	135	1.4	30.4
a023	jgi|Sclsc1|6503|SS1G_02003T0	41.304	46	26	1	3	47	42	87	0.023	36.2
a024	jgi|Colto1|8008|CT0861_04170T0	28.261	92	57	4	21	109	149	234	0.77	31.6
a025	jgi|Aspnov1|373576|e_gw1.5.675.1	42.500	40	22	1	49	88	256	294	0.23	32.7
a026	jgi|Corca1|491723|e_gw1.7.291.1	36.111	36	23	0	55	90	157	192	1.8	30.0
a027	jgi|Sclci1|1214582|fgenesh1_kg.35_#_96_#_Locus4446v1rpkm34.21	24.615	130	72	4	8	132	311	419	7.6	28.9
a028	jgi|BlugrR1_1|73269|BGHR1_10879-mRNA-1_BLGH_03268	34.783	46	29	1	105	149	73	118	0.052	34.7
a029	jgi|Botci1|7119|BC1T_05748	35.000	40	26	0	107	146	79	118	1.4	30.8
a030	jgi|Tubma1|355479|estExt_fgenesh1_pm.C_110071	26.531	98	56	4	13	107	73	157	0.20	32.7
a031	jgi|Pyrtt1|7825|PTTG_15837.1	26.852	108	63	3	45	142	474	575	1.5	30.8
a032	jgi|Zalva1|490359|e_gw1.25.182.1	35.955	89	47	5	6	87	6	91	4.24e-06	46.6
a033	jgi|Verda1|801|VDAG_00801T0	31.707	82	51	2	6	82	260	341	0.78	30.4
